,product,new_code
478,29798e24-c5a9-44d2-a4e8-ca31bbab00f4,3854
479,34b443d3-8840-442b-b001-c87e729ed866,4870
482,268184ff-5a2b-45bd-bc73-c97b21de573b,3602
483,6cfe1e0d-b872-407e-9da3-840312fbff3e,10022
484,e45e6378-0c01-4cb4-acb9-6e030195312b,21013
485,07b6dc79-e96e-4c9e-adba-827e4b5657f7,696
486,58cb164b-e66f-4c89-a1f0-50f155178753,8164
487,c3cf532e-a7b2-4c8f-8670-085757f62b5e,17975
488,974b49f2-7e01-483e-bcf7-094e221e421e,13881
489,1b686de8-dd58-4336-8929-b586fbc17fa4,2561
491,0cb90f01-0b2c-405e-ac44-9c2a20ca272b,1173
494,6ab2a304-7998-4680-87fd-87a2fa41e824,9809
495,780df24e-2b97-40cb-847c-f5335ca55515,11086
497,3f7e315f-6800-46a1-ad27-cd8ca58ca444,5889
499,46656967-7a2f-4bc8-ae9e-5f61aaa448ba,6479
500,69bfc703-1d1d-4bf9-9c19-ff79a89346c9,9724
501,f07b0d7b-1b95-40e5-a6f8-6613ae0ced89,22117
503,56f73f93-b5c7-4aaa-aca5-e4ba21757b73,7993
504,bf6b6ede-fb48-4e57-bc1f-e66129d99105,17561
505,27aa1ad3-0b89-4dff-8921-b12436bad293,3703
506,7695c250-48e7-4a2d-a99e-78cbaf0ac7f3,10949
507,d09ebda0-fb14-4265-ab16-152f63e2d2cb,19162
508,6c61550c-b468-44df-b1ec-028f17e85c9b,9971
509,081e2229-e1e9-49a7-bffd-8ab6c7c15048,729
510,caf67c9e-8163-4b1c-ae29-c06d40608f72,18621
511,da379c23-bec6-42b2-bc5d-253d36ca6240,20055
512,b421be32-4920-4d6f-a665-6c4510721a78,16506
513,8fcba29d-d4a5-4613-90bf-234746a59758,13152
514,f2ad7b34-cca4-41a8-b6a9-7f7760abbf1a,22355
515,daea6fb1-ad02-4eb8-b589-bdf8630b7f07,20125
516,55f1ebfd-0ca0-448d-9760-ab78cab6f11a,7902
517,a8e7aec6-8fe0-4265-bc41-5e193a0f3954,15491
518,5882c09a-cba5-4456-88d6-cb62809cec8b,8135
519,b0880c33-95e2-49c5-b8a9-4c673c345b8f,16175
521,8d0a01de-979f-4074-9ab0-385d80dd274a,12892
524,817037b8-693c-47d6-b0e9-66e563736312,11894
